GeomNames,Perm,Porosity,RelPerm_Alpha,RelPerm_N,Sat_Alpha,Sat_N,Sat_SRes,Sat_SSat
domain,0.2,0.375,3.5,2,3.5,2,0.2,1
s1,0.269022595,0.39,3.548,4.162,3.548,4.162,0.000001,1
s2,0.043630356,0.387,3.467,2.738,3.467,2.738,0.000001,1
s3,0.015841225,0.439,2.692,2.445,2.692,2.445,0.000001,1
s4,0.007582087,0.489,0.501,2.659,0.501,2.659,0.000001,1
s5,0.01818816,0.399,0.661,2.659,0.661,2.659,0.000001,1
s6,0.005009435,0.384,1.122,2.479,1.122,2.479,0.000001,1
s7,0.005492736,0.482,2.089,2.318,2.089,2.318,0.000001,1
s8,0.004675077,0.442,0.832,2.514,0.832,2.514,0.000001,1
s9,0.003386794,,1.585,2.413,1.585,2.413,0.000001,1
g2,0.025,NA,NA,NA,NA,NA,NA,NA
g3,0.059,NA,NA,NA,NA,NA,NA,NA
g6,0.2,NA,NA,NA,NA,NA,NA,NA
g8,0.68,NA,NA,NA,NA,NA,NA,NA